"ride_id","booker_id","driver_id","vehicle_id","ride_status_id","pickup_city_id","dropoff_city_id","ride_option_id","payment_method_id","booking_timestamp","pickup_latitude","pickup_longitude","pickup_address","dropoff_latitude","dropoff_longitude","dropoff_address","booker_name","booker_email","booker_phone","driver_name","driver_phone","driver_license","vehicle_license_plate","cancellation_reason_id","travel_distance_km","duration_minutes","passenger_count","pickup_timestamp","dropoff_timestamp","driver_rating","rating","base_fare","distance_fare","time_fare","surge_multiplier","subtotal","tip_amount","total_fare"
"01KHZRWQR4QCJ2RD9QAMT79A1C","50ac8def-017e-4fe3-84c4-2727867c3da7","901d6862-f573-436e-bc49-c4b9b2fb2fa3","0b9b6955-a3be-46b7-9916-84e2410d7695","1","TH-30","TH-30","2","2","2026-02-21T16:36:02.820283","15.5805621525714","102.47741223921996","อำเภอบัวใหญ่, จังหวัดนครราชสีมา, 30120, ประเทศไทย","15.620742448940707","102.42382028091123","บัวใหญ่, หนองบัวสะอาด, อำเภอบัวใหญ่, จังหวัดนครราชสีมา, ประเทศไทย","สุภาลินี ศรีวงค์","daabephchrwrsaass@example.com","+66 3326 4125","ผดุงชาติ ฉัตรอภิเที่ยงค่ำ","045-401868","31898414","1งง 4474","1","10.8996602274918","20","2","2026-02-21T16:36:02.820283","2026-02-21T16:56:02.820283","4.4","3","55.0","70.85","40.0","1.0","165.85","0.0","165.85"
"01KH6AAGMH09YMMXTJ0PRC5TH3","ecdc49f8-3d4e-47cc-bbac-7de38572f42d","2985c671-a51e-4ca6-8562-1ead5aaf6e71","fe9bf21e-16ad-4364-987e-75d113287c06","1","TH-92","TH-92","1","5","2026-02-11T19:20:24.849916","7.358562559445604","99.77029591621874","บ้านในควน, ควนโพธิ์, อำเภอย่านตาขาว, จังหวัดตรัง, ประเทศไทย","7.4720372622670785","99.79779834198845","บ้านไทรงาม, ควนโพธิ์, อำเภอย่านตาขาว, จังหวัดตรัง, ประเทศไทย","มัตติกา พรรษาสกุล","wirchaynwlchwii@example.org","+66 (0) 3646 9100","ปัตถพงษ์ บุญญาไลย์","+66 3620 4398","21270824","9ฟย 1915","1","19.367290304942724","37","2","2026-02-11T19:20:24.849916","2026-02-11T19:57:24.849916","4.7","5","45.0","174.31","92.5","1.3","405.35","0.0","405.35"
"01KHW0YZYFYPFFQPY6VMDF5M45","322e9f0a-307d-4f85-893a-656d52501eab","6ba418e4-a0a3-4341-831f-371754f5982d","5db20b1e-b387-41b7-9596-77dacb03db7c","2","TH-91","TH-91","4","1","2026-02-20T05:40:07.631283","6.917579407055572","100.08680204017179","บ้านน้ำหรา, อำเภอควนกาหลง, จังหวัดสตูล, ประเทศไทย","6.860597602140087","100.16045728174944","บ้านโตน, อำเภอควนกาหลง, จังหวัดสตูล, ประเทศไทย","พัสวี นานายน","ophaas03@example.org","+66 831 799 431","ทรรศนชัย บุญส่ง","024444005","44574409","ฎม 682","2","0.0","0","0","","","","","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"01KGH1W25MEFC260M7J4TC560D","5df1f7a0-41a0-4446-8a85-a14e59ddac1f","49775b28-726c-4712-9932-f618a1c312f4","dd3b1245-1ced-4a6b-9e23-cf446ad1c326","1","TH-77","TH-77","2","5","2026-02-03T13:08:39.604175","11.70876139277986","99.78608299398311","คลองวาฬ, เทศบาลตำบลคลองวาฬ, อำเภอเมืองประจวบคีรีขันธ์, จังหวัดประจวบคีรีขันธ์, ประเทศไทย","11.7571933369301","99.73107305707371","อำเภอเมืองประจวบคีรีขันธ์, จังหวัดประจวบคีรีขันธ์, 77000, ประเทศไทย","สุภาพร เขียวอ่อน","aaecchngswaang@example.net","070727431","เอนกพงศ์ ธูปะวิโรจน์","+66 656 249 688","13990808","บข 2198","1","12.061910751954212","23","4","2026-02-03T13:08:39.604175","2026-02-03T13:31:39.604175","4.2","4","55.0","78.4","46.0","1.0","179.4","0.0","179.4"
"01KH46S36RRBV69B01KKY92X6Y","444cb2a6-c754-4633-a9d4-bfb82f13b4cc","dfab49bd-2034-4b15-a1e4-87377a6db0ca","bbc64500-c3aa-4aff-8877-4a97351b3985","1","TH-40","TH-40","2","2","2026-02-10T23:39:59.448365","16.458448916119448","102.37216607060377","บ้านขนวนนคร หมู่ 3, บ้านขนวนนคร, กุดกว้าง, อำเภอหนองเรือ, จังหวัดขอนแก่น, ประเทศไทย","16.582747872765545","102.48311795621117","บ้านค้อ หมู่ 1, บ้านหัวนาหม่อ, อำเภอภูเวียง, จังหวัดขอนแก่น, 40150, ประเทศไทย","เทียมศักดิ์ ธนประทีป","nraawrrn69@example.org","+665 467 1223","บุญเกิด นาควงษ์","0-5572-5015","37517462","ซท 9076","1","27.228302563733386","26","3","2026-02-10T23:39:59.448365","2026-02-11T00:05:59.448365","3.7","2","55.0","176.98","52.0","1.0","283.98","0.0","283.98"
"01KHVZ48Q91HV3CAT6B7BMKDPP","a75e4496-6c99-4645-87b9-e5bc3e6bad2b","e6fdfaf1-3a69-41cc-b5c1-5b2886b7720f","b32efe60-6e60-46ea-91fe-17556b4e6981","1","TH-77","TH-77","5","3","2026-02-20T05:08:03.305355","12.012265801971122","99.86128138134048","อำเภอเมืองประจวบคีรีขันธ์, จังหวัดประจวบคีรีขันธ์, ประเทศไทย","12.016621169699675","99.96737480783553","วังก์พง, จังหวัดประจวบคีรีขันธ์, 77120, ประเทศไทย","อรจิรา ถนัดการเขียน","saaraphantheksraa@example.com","0672523645","ปุณณรัตน์ บินดี","05 040 4355","42673246","ชฟ 3050","1","17.34492253577405","25","3","2026-02-20T05:08:03.305355","2026-02-20T05:33:03.305355","4.8","5","80.0","208.14","75.0","1.0","363.14","0.0","363.14"
"01KHTWS1EPEPZ6TQDV7S9WSS0R","a4479e05-41ca-4399-8746-a9f99638de44","4ed477fd-f269-45b4-86e6-9f43b1cfd8e5","c9baac8e-bbc0-4db5-9c62-d090db3a3a76","1","TH-12","TH-12","6","5","2026-02-19T19:07:43.830966","13.820201351153623","100.43832298231035","พฤกษาวิลล์ 93 นครอินทร์-ราชพฤกษ์, บ้านบางไกร, ตำบลบางขุนกอง, องค์การบริหารส่วนตำบลบางขุนกอง, อำเภอบางกรวย, จังหวัดนนทบุรี, 11130, ประเทศไทย","13.873390979408292","100.34198034772395","บ้านคลองวาเดียว, ตำบลบ้านใหม่, องค์การบริหารส่วนตำบลบ้านใหม่, อำเภอบางใหญ่, จังหวัดนนทบุรี, 11140, ประเทศไทย","ราชัน เพียยา","buysngsmaicch@example.net","076-817659","ภัคชัญญา แจ้งสว่าง","029-921335","99390497","ฉว 9120","1","17.944026869577822","29","6","2026-02-19T19:07:43.830966","2026-02-19T19:36:43.830966","3.9","2","150.0","358.88","145.0","1.27","830.43","0.0","830.43"
"01KHDWRY4QW14FAYMCBTZN5DS7","cff4c0fb-c8f6-4535-9c84-493a90b5adc1","ccf90914-5878-49e2-b795-ce7c68bb673e","c1854a62-b006-4150-8556-ccf8a1a66df0","1","TH-20","TH-20","4","4","2026-02-14T17:57:32.823284","13.490455875299451","101.09052603969735","พานทอง, หนองตำลึง, อำเภอพานทอง, จังหวัดชลบุรี, ประเทศไทย","13.450348440355441","101.0989225862648","ถนนมาบโป่ง - หัวไผ่, นิคมอุตสาหกรรมอมตะซิตี้ ชลบุรี (โครงการ 1), พานทอง, หนองตำลึง, อำเภอพานทอง, จังหวัดชลบุรี, 20160, ประเทศไทย","พิชาภพ นาถะเดชะ","nubaalthnadklueng@example.com","+66 (0) 7454 5628","ปภาวรินทร์ ดิศดใน","+663 096 0368","13500364","คฐ 4112","1","6.794172862353261","11","2","2026-02-14T17:57:32.823284","2026-02-14T18:08:32.823284","4.4","5","100.0","101.91","44.0","1.36","334.44","37","371.44"
"01KGPAC6K74M86C7QC81ASZ0YB","8538c4de-17c3-42a6-9f11-9a325c5af606","5b2d2f70-ebdc-4581-82c9-3ae62976bfa6","ff4b7012-1fd9-4f17-a9fc-36217bf93fa9","1","TH-50","TH-50","2","3","2026-02-05T14:13:29.191066","19.755679549320735","99.09521372775926","Ban Pong, หนองบัว, อำเภอไชยปราการ, จังหวัดเชียงใหม่, ประเทศไทย","19.58980055289809","99.0595933894113","บ้านห้วยจะก่าน, ทุ่งข้าวพวง, อำเภอเชียงดาว, จังหวัดเชียงใหม่, ประเทศไทย","เจตธนากร ถนอมมนุษย์","chumwrakhamman@example.net","+66 670 267 682","อาซือมะ ตันยา","0 917 494 121","22095913","6คพ 3672","1","28.108326234124952","22","2","2026-02-05T14:13:29.191066","2026-02-05T14:35:29.191066","4.1","4","55.0","182.7","44.0","1.0","281.7","0.0","281.7"
"01KH2T3CB9TT7C1HTC9FPB2BTS","ce3aacba-fe0d-455c-8aaa-c642bdbcbf91","b79a3175-7c33-44ae-8de3-29ed469d6be0","c04bbe80-6a2b-4358-a5f9-3e3f7bc8f2d8","1","TH-41","TH-41","1","5","2026-02-10T10:39:10.569128","17.356207804695416","102.5088525772163","บ้านดงบัง, เมืองเพีย, อำเภอกุดจับ, จังหวัดอุดรธานี, ประเทศไทย","17.324455189024054","102.77696772108723","บ้านเลี่ยม, บ้านจั่น, บ้านตาด, อำเภอเมืองอุดรธานี, จังหวัดอุดรธานี, ประเทศไทย","กิติชัย นิลสุวรรณ์","paekwchlkhraam@example.org","+66 (0) 7777 9750","พุทธ นักรบ","033-209561","86658404","ทพ 3238","1","43.07141758808611","35","4","2026-02-10T10:39:10.569128","2026-02-10T11:14:10.569128","4.6","4","45.0","387.64","87.5","1.0","520.14","58","578.14"
